age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,Bank deposit(target)
95,retired,married,secondary,no,0.0,no,no,telephone,1.0,oct,215.0,1.0,-1.0,unknown,no
94,retired,divorced,secondary,no,1234.0,no,no,cellular,3.0,mar,212.0,1.0,-1.0,unknown,no
93,retired,married,unknown,no,775.0,no,no,cellular,22.0,jul,860.0,2.0,177.0,success,yes
93,retired,married,unknown,no,775.0,no,no,cellular,4.0,aug,476.0,2.0,13.0,success,yes
92,retired,married,unknown,no,775.0,no,no,cellular,22.0,oct,313.0,3.0,-1.0,unknown,yes
92,retired,married,unknown,no,775.0,no,no,cellular,26.0,jan,164.0,4.0,96.0,success,yes
90,retired,divorced,secondary,no,1.0,no,no,cellular,13.0,feb,152.0,3.0,-1.0,unknown,yes
90,retired,divorced,primary,no,712.0,no,no,telephone,3.0,mar,557.0,1.0,-1.0,unknown,yes
89,retired,married,tertiary,no,553.0,no,no,telephone,19.0,aug,2027.0,5.0,-1.0,unknown,no
89,retired,divorced,primary,no,1323.0,no,no,telephone,29.0,dec,207.0,4.0,189.0,other,no
89,retired,married,primary,no,0.0,no,no,telephone,27.0,sep,157.0,5.0,-1.0,unknown,no
88,retired,married,primary,no,648.0,no,no,telephone,3.0,sep,318.0,1.0,-1.0,unknown,no
88,retired,married,secondary,no,433.0,no,no,telephone,15.0,sep,161.0,1.0,274.0,failure,no
87,retired,married,primary,no,230.0,no,no,cellular,30.0,oct,144.0,1.0,-1.0,unknown,yes
87,retired,divorced,primary,no,6746.0,no,no,telephone,21.0,oct,749.0,1.0,-1.0,unknown,yes
87,retired,married,primary,no,230.0,no,no,cellular,30.0,oct,144.0,1.0,-1.0,unknown,yes
87,retired,married,secondary,no,1000000.0,no,no,telephone,15.0,dec,150.0,1.0,-1.0,unknown,no
87,retired,married,primary,no,2190.0,no,no,telephone,12.0,jan,512.0,2.0,-1.0,unknown,yes
86,retired,married,secondary,no,1503.0,no,no,telephone,18.0,mar,165.0,3.0,101.0,other,no
86,retired,divorced,secondary,no,0.0,no,no,telephone,26.0,aug,189.0,1.0,-1.0,unknown,yes
86,retired,divorced,secondary,no,157.0,no,no,telephone,7.0,sep,147.0,1.0,-1.0,unknown,no
86,retired,single,secondary,no,614.0,no,no,telephone,9.0,dec,595.0,1.0,-1.0,unknown,yes
86,retired,married,secondary,no,1817.0,no,no,cellular,16.0,mar,272.0,3.0,-1.0,unknown,no
86,retired,married,secondary,no,1503.0,no,no,telephone,18.0,mar,165.0,3.0,101.0,other,no
86,retired,married,secondary,no,5236.0,no,no,telephone,1.0,apr,558.0,2.0,-1.0,unknown,yes
86,retired,married,secondary,no,1255.0,no,no,telephone,14.0,jul,247.0,1.0,180.0,success,yes
86,retired,married,secondary,no,1255.0,no,no,cellular,14.0,oct,192.0,2.0,92.0,success,no
85,retired,married,secondary,no,12114.0,no,no,telephone,12.0,feb,165.0,2.0,-1.0,unknown,yes
85,retired,divorced,secondary,no,7613.0,no,no,cellular,18.0,feb,355.0,3.0,-1.0,unknown,yes
85,retired,married,secondary,no,1934.0,no,no,telephone,12.0,jan,140.0,1.0,-1.0,unknown,no
85,retired,married,secondary,no,1255.0,no,no,cellular,15.0,jan,233.0,3.0,-1.0,unknown,yes
84,retired,divorced,secondary,no,639.0,no,no,telephone,18.0,may,353.0,3.0,-1.0,unknown,yes
84,retired,married,secondary,no,1702.0,no,no,telephone,26.0,aug,185.0,1.0,-1.0,unknown,no
84,entrepreneur,married,secondary,no,0.0,no,no,telephone,30.0,sep,992.0,2.0,-1.0,unknown,yes
